date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:59	65844/65844	---M-Z	200	added ('OK')	text/html	etag:%2210134-6931718e-3d22735a144d167f;gz%22	https://thewebmax.org/travlla/about-1.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/about-1.html	(from https://thewebmax.org/travlla/)
08:58:00	47449/47449	---M-Z	200	added ('OK')	text/html	etag:%22b959-6931718d-128927635cdebbf8;gz%22	https://thewebmax.org/travlla/services.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/services.html	(from https://thewebmax.org/travlla/)
08:58:00	59270/59270	---M-Z	200	added ('OK')	text/html	etag:%22e786-6931718d-bdef82ac0627b4fc;gz%22	https://thewebmax.org/travlla/service-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/service-detail.html	(from https://thewebmax.org/travlla/)
08:58:00	35123/35123	---M-Z	200	added ('OK')	text/html	etag:%228933-6931718d-959a2a400b500a17;gz%22	https://thewebmax.org/travlla/gallery.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/gallery.html	(from https://thewebmax.org/travlla/)
08:58:00	64799/64799	---M-Z	200	added ('OK')	text/html	etag:%22fd1f-6931718d-e7a81dc2361831a7;gz%22	https://thewebmax.org/travlla/testimonial.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/testimonial.html	(from https://thewebmax.org/travlla/)
08:58:01	57301/57301	---M-Z	200	added ('OK')	text/html	etag:%22dfd5-6931718d-7438ce6afad6dc89;gz%22	https://thewebmax.org/travlla/testimonial-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/testimonial-detail.html	(from https://thewebmax.org/travlla/)
08:58:01	41821/41821	---M-Z	200	added ('OK')	text/html	etag:%22a35d-6931718d-f9166776f1579c67;gz%22	https://thewebmax.org/travlla/our-team.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/our-team.html	(from https://thewebmax.org/travlla/)
08:58:01	39523/39523	---M-Z	200	added ('OK')	text/html	etag:%229a63-6931718d-b58c85c47a049b91;gz%22	https://thewebmax.org/travlla/our-team-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/our-team-detail.html	(from https://thewebmax.org/travlla/)
08:58:01	40124/40124	---M-Z	200	added ('OK')	text/html	etag:%229cbc-6931718e-fb20a0ecb4369213;gz%22	https://thewebmax.org/travlla/faq.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/faq.html	(from https://thewebmax.org/travlla/)
08:58:02	42352/42352	---M-Z	200	added ('OK')	text/html	etag:%22a570-6931718d-8d9a3eeeafd7945f;gz%22	https://thewebmax.org/travlla/pricing.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/pricing.html	(from https://thewebmax.org/travlla/)
08:58:02	26729/26729	---M-Z	200	added ('OK')	text/html	etag:%226869-6931718e-ecf8ba8f2ce0c98d;gz%22	https://thewebmax.org/travlla/error-404.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/error-404.html	(from https://thewebmax.org/travlla/)
08:58:02	60018/60018	---M-Z	200	added ('OK')	text/html	etag:%22ea72-6931718d-f84e4e4ad224de7b;gz%22	https://thewebmax.org/travlla/compare.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/compare.html	(from https://thewebmax.org/travlla/)
08:58:03	8409/8409	---M-Z	200	added ('OK')	text/html	etag:%2220d9-6931718e-a081e98153e0e1ed;gz%22	https://thewebmax.org/travlla/coming-soon.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/coming-soon.html	(from https://thewebmax.org/travlla/)
08:58:03	6075/6075	---M-Z	200	added ('OK')	text/html	etag:%2217bb-6931718d-98ab5c441ff8a6a9;gz%22	https://thewebmax.org/travlla/under-maintenance.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/under-maintenance.html	(from https://thewebmax.org/travlla/)
08:58:03	62940/62940	---M-Z	200	added ('OK')	text/html	etag:%22f5dc-6931718d-29b78d2c2227f99f;gz%22	https://thewebmax.org/travlla/destination-1-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-1-grid.html	(from https://thewebmax.org/travlla/)
08:58:04	43132/43132	---M-Z	200	added ('OK')	text/html	etag:%22a87c-6931718e-7ff1a34e0b54bd56;gz%22	https://thewebmax.org/travlla/destination-1-left.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-1-left.html	(from https://thewebmax.org/travlla/)
08:58:04	52015/52015	---M-Z	200	added ('OK')	text/html	etag:%22cb2f-6931718e-a2bb25e9eef537aa;gz%22	https://thewebmax.org/travlla/destination-2-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-2-grid.html	(from https://thewebmax.org/travlla/)
08:58:04	46634/46634	---M-Z	200	added ('OK')	text/html	etag:%22b62a-6931718e-b858d5fd36ea537f;gz%22	https://thewebmax.org/travlla/destination-2-left.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-2-left.html	(from https://thewebmax.org/travlla/)
08:58:04	44607/44607	---M-Z	200	added ('OK')	text/html	etag:%22ae3f-6931718e-5197401ee8ca6997;gz%22	https://thewebmax.org/travlla/destination-3-grid.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-3-grid.html	(from https://thewebmax.org/travlla/)
08:58:05	50255/50255	---M-Z	200	added ('OK')	text/html	etag:%22c44f-6931718e-30f6ad244cc0e54d;gz%22	https://thewebmax.org/travlla/destination-3-left.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-3-left.html	(from https://thewebmax.org/travlla/)
08:58:05	58920/58920	---M-Z	200	added ('OK')	text/html	etag:%22e628-6931718e-d0da21cbfa16445d;gz%22	https://thewebmax.org/travlla/destination-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/destination-detail.html	(from https://thewebmax.org/travlla/)
08:58:05	86667/86667	---M-Z	200	added ('OK')	text/html	etag:%221528b-6931718d-9a83878550754cd5;gz%22	https://thewebmax.org/travlla/tour-package.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-package.html	(from https://thewebmax.org/travlla/)
08:58:05	78615/78615	---M-Z	200	added ('OK')	text/html	etag:%2213317-6931718d-9f8bb662a4f7d96;gz%22	https://thewebmax.org/travlla/tour-package-detail.html	C:/My%20Web%20Sites/Mavara%20Safaris/thewebmax.org/travlla/tour-package-detail.html	(from https://thewebmax.org/travlla/)
